grade_level,gender,family_structure,parental_education,parental_occupation,family_income,geographic_location,student_teacher_ratio,school_funding,access_to_early_childhood_edu,access_to_extracurricular,access_to_technology,student_allowance,dropout_likelihood
Grade 10,Male,Two-parent,High School,Blue-collar,High Income,Urban,Middle,Middle,True,False,True,Middle,False
Grade 10,Male,Extended family,Elementary,White-collar,High Income,Urban,Middle,Low,False,True,False,Middle,False
Grade 10,Female,Two-parent,High School,Unemployed,Middle Class,Rural,Middle,Low,True,True,True,Middle,False
Grade 8,Female,Two-parent,High School,Unemployed,High Income,Urban,Low,Middle,False,True,True,Low,True
Grade 7,Female,Two-parent,High School,Blue-collar,Low Income,Rural,Low,Middle,False,True,True,Middle,True
Grade 10,Female,Extended family,College,Blue-collar,Middle Class,Rural,Middle,Low,True,False,True,Low,False
Grade 10,Female,Two-parent,Elementary,Blue-collar,Middle Class,Suburban,Middle,Low,True,True,True,Low,True
Grade 7,Male,Two-parent,Elementary,Unemployed,Middle Class,Urban,Middle,Low,True,False,False,High,False
Grade 8,Female,Two-parent,High School,Unemployed,Low Income,Urban,Low,Middle,False,False,True,High,True
Grade 7,Female,Two-parent,Elementary,Blue-collar,Middle Class,Urban,Middle,High,True,True,False,High,False
Grade 9,Female,Two-parent,College,Blue-collar,High Income,Urban,High,Middle,True,False,False,Middle,False
Grade 10,Male,Two-parent,High School,White-collar,Low Income,Rural,High,Middle,True,False,False,Low,True
Grade 9,Female,Two-parent,Elementary,Blue-collar,Middle Class,Urban,Middle,High,True,True,False,High,False
Grade 9,Male,Two-parent,Elementary,Blue-collar,High Income,Suburban,Middle,Middle,True,False,True,Middle,True
Grade 9,Female,Extended family,Elementary,White-collar,Low Income,Suburban,Middle,Middle,True,False,True,Low,True
Grade 10,Male,Two-parent,High School,Unemployed,High Income,Urban,High,High,True,True,True,Low,True
Grade 7,Male,Two-parent,High School,White-collar,Middle Class,Rural,Low,Low,True,False,False,High,False
